year,category,name,number
2016,cat,CHARLIE, 155 
2016,cat,MOLLY, 155 
2016,cat,MAX, 144 
2016,cat,BELLA, 132 
2016,cat,SMOKEY, 130 
2016,cat,TIGER, 127 
2016,cat,LUCY, 125 
2016,cat,SHADOW, 108 
2016,cat,LUCKY, 104 
2016,cat,TIGGER, 102 
2016,cat,COCO, 97 
2016,cat,BUDDY, 96 
2016,cat,NO NAME, 95 
2016,cat,KITTY, 94 
2016,cat,LILY, 94 
2016,cat,LUNA, 92 
2016,cat,GINGER, 91 
2016,cat,CLEO, 89 
2016,cat,MISSY, 89 
2016,cat,PRINCESS, 89 
2016,cat,MISTY, 87 
2016,cat,SIMBA, 86 
2016,cat,CHLOE, 85 
2016,cat,FELIX, 83 
2016,cat,OSCAR, 82 
2016,dog,CHARLIE, 721 
2016,dog,BELLA, 542 
2016,dog,MAX, 533 
2016,dog,MOLLY, 456 
2016,dog,BUDDY, 440 
2016,dog,MAGGIE, 403 
2016,dog,BAILEY, 401 
2016,dog,LUCY, 391 
2016,dog,COCO, 386 
2016,dog,DAISY, 373
2016,dog,LOLA, 369 
2016,dog,TOBY, 328 
2016,dog,ROCKY, 312 
2016,dog,LUCKY, 301 
2016,dog,RILEY, 242 
2016,dog,RUBY, 238 
2016,dog,JACK, 237 
2016,dog,COOPER, 236 
2016,dog,CHLOE, 230 
2016,dog,ROXY, 229 
2016,dog,MILO, 226 
2016,dog,OSCAR, 222 
2016,dog,LUNA, 221 
2016,dog,SOPHIE, 219 
2016,dog,ROSIE, 217 
2015,cat,CHARLIE, 174 
2015,cat,MAX, 157 
2015,cat,MOLLY, 150 
2015,cat,TIGER, 140 
2015,cat,LUCY, 133 
2015,cat,SMOKEY, 133 
2015,cat,BELLA, 130 
2015,cat,SHADOW, 115 
2015,cat,LUCKY, 111 
2015,cat,TIGGER, 107
2015,cat,TIGGER, 107 
2015,cat,BUDDY, 105 
2015,cat,COCO, 95 
2015,cat,CHLOE, 94 
2015,cat,SIMBA, 93 
2015,cat,GINGER, 91 
2015,cat,KITTY, 90 
2015,cat,PRINCESS, 89 
2015,cat,LILY, 88 
2015,cat,LUNA, 87 
2015,cat,DAISY, 85 
2015,cat,MISSY, 85 
2015,cat,MISTY, 85 
2015,cat,OLIVER, 85 
2015,cat,OSCAR, 84 
2015,dog,CHARLIE, 678 
2015,dog,MAX, 560 
2015,dog,BELLA, 515 
2015,dog,BUDDY, 480 
2015,dog,MOLLY, 463 
2015,dog,MAGGIE, 416 
2015,dog,BAILEY, 402 
2015,dog,LUCY, 376 
2015,dog,COCO, 369 
2015,dog,DAISY, 364 
2015,dog,TOBY, 353 
2015,dog,LOLA, 352 
2015,dog,LUCKY, 313 
2015,dog,ROCKY, 308 
2015,dog,NO NAME, 282 
2015,dog,RILEY, 245 
2015,dog,JACK, 242 
2015,dog,CHLOE, 235 
2015,dog,ROXY, 235 
2015,dog,COOPER, 218 
2015,dog,RUBY, 216 
2015,dog,TEDDY, 215 
2015,dog,LILY, 213 
2015,dog,STELLA, 210 
2015,dog,MILO, 206 
2014,cat,CHARLIE, 326
2014,cat,MAX,299
2014,cat,TIGER, 288
2014,cat,SMOKEY, 287
2014,cat,TIGGER, 239
2014,cat,LUCY, 223
2014,cat,LUCKY, 222
2014,cat,SHADOW, 221
2014,cat,KITTY, 216
2014,cat,BELLA, 216
2014,cat,MOLLY, 211
2014,cat,BUDDY,	189
2014,cat,OSCAR,	181
2014,cat,PRINCESS,180
2014,cat,CLEO,180
2014,cat,OLIVER,175
2014,cat,MISTY,	172
2014,cat,CHLOE,	170
2014,cat,GINGER, 160
2014,cat,COCO, 159
2014,cat,DAISY,	157
2014,cat,SAM, 150
2014,cat,JACK, 149
2014,cat,ANGEL, 142
2014,cat,PEPPER, 141
2014,dog,CHARLIE, 1124
2014,dog,MAX, 1069
2014,dog,BUDDY, 882
2014,dog,BELLA, 863
2014,dog,BAILEY, 781
2014,dog,MOLLY, 769
2014,dog,MAGGIE, 674
2014,dog,DAISY, 634
2014,dog,LUCY, 630
2014,dog,COCO, 625
2014,dog,LUCKY,	613
2014,dog,ROCKY,	592
2014,dog,TOBY, 558
2014,dog,LOLA, 555
2014,dog,JACK, 452
2014,dog,ROXY, 431
2014,dog,RILEY, 412
2014,dog,CHLOE, 411
2014,dog,JAKE, 388
2014,dog,SADIE, 371
2014,dog,TEDDY,	367
2014,dog,HARLEY, 352
2014,dog,STELLA, 351
2014,dog,MILO, 345
2014,dog,RUBY, 336
2013,cat,CHARLIE, 190 
2013,cat,MAX, 175 
2013,cat,SMOKEY, 161 
2013,cat,TIGER, 161 
2013,cat,NO NAME, 145 
2013,cat,MOLLY, 142 
2013,cat,LUCY, 136 
2013,cat,TIGGER, 130 
2013,cat,BELLA, 124 
2013,cat,LUCKY, 122
2013,cat,SHADOW, 116 
2013,cat,KITTY, 111 
2013,cat,BUDDY, 109 
2013,cat,PRINCESS, 109 
2013,cat,COCO, 108 
2013,cat,CLEO, 102 
2013,cat,CHLOE, 101 
2013,cat,TOBY, 96 
2013,cat,OSCAR, 92 
2013,cat,GINGER, 91 
2013,cat,SAM, 91 
2013,cat,MISSY, 88 
2013,cat,OLIVER, 88 
2013,cat,SIMBA, 88 
2013,cat,MISTY, 87 
2013,dog,CHARLIE, 656 
2013,dog,MAX, 605 
2013,dog,BUDDY, 523 
2013,dog,BELLA, 482 
2013,dog,MOLLY, 481 
2013,dog,BAILEY, 441 
2013,dog,MAGGIE, 437 
2013,dog,LUCY, 391 
2013,dog,DAISY, 372 
2013,dog,COCO, 366
2013,dog,LUCKY, 360 
2013,dog,TOBY, 343 
2013,dog,ROCKY, 325 
2013,dog,LOLA, 321 
2013,dog,RILEY, 252 
2013,dog,JACK, 240 
2013,dog,ROXY, 235 
2013,dog,CHLOE, 224 
2013,dog,TEDDY, 217 
2013,dog,JAKE, 215 
2013,dog,HARLEY, 210 
2013,dog,SOPHIE, 208 
2013,dog,COOPER, 206 
2013,dog,SADIE, 206 
2013,dog,RUBY, 203 
2012,cat,MAX, 198 
2012,cat,TIGER, 183 
2012,cat,CHARLIE, 181 
2012,cat,SMOKEY, 178 
2012,cat,NO NAME, 165 
2012,cat,LUCKY, 151 
2012,cat,LUCY, 149 
2012,cat,TIGGER, 146 
2012,cat,SHADOW, 139 
2012,cat,MOLLY, 136 
2012,cat,BUDDY, 129 
2012,cat,KITTY, 122 
2012,cat,BELLA, 120 
2012,cat,CHLOE, 112 
2012,cat,CLEO, 111 
2012,cat,PRINCESS, 111 
2012,cat,MISTY, 110 
2012,cat,TOBY, 104 
2012,cat,COCO, 103 
2012,cat,GINGER, 102 
2012,cat,DAISY, 100 
2012,cat,MISSY, 100 
2012,cat,OLIVER, 99 
2012,cat,SAM, 98 
2012,cat,SIMBA, 97 
2012,dog,CHARLIE, 674 
2012,dog,MAX, 660 
2012,dog,BUDDY, 534 
2012,dog,MOLLY, 506 
2012,dog,BELLA, 489 
2012,dog,BAILEY, 456 
2012,dog,MAGGIE, 446 
2012,dog,LUCY, 404 
2012,dog,DAISY, 399 
2012,dog,LUCKY, 398 
2012,dog,COCO, 379 
2012,dog,TOBY, 373 
2012,dog,ROCKY, 347 
2012,dog,LOLA, 323 
2012,dog,RILEY, 256 
2012,dog,JACK, 253 
2012,dog,JAKE, 246 
2012,dog,ROXY, 246 
2012,dog,CHLOE, 243 
2012,dog,HARLEY, 229 
2012,dog,TEDDY, 224 
2012,dog,LILY, 213 
2012,dog,OSCAR, 213 
2012,dog,SADIE, 212 
2012,dog,ZOE, 203 
